periods,price,quantity,time path
236,1.5487538939842662e+297,-9.602274142702451e+297,15.0
237,2.747748876582542e+298,-1.703604303481176e+299,15.0
238,4.874966847920204e+299,-3.022479445710527e+300,15.0
239,8.649007910023667e+300,-5.362384904214674e+301,15.0
240,1.5344789033707172e+302,-9.513769200898447e+302,15.0
241,2.722422651690413e+303,-1.687902044048056e+304,15.0
242,4.830033881962392e+304,-2.9946210068166832e+305,15.0
243,8.569289300623126e+305,-5.312959366386338e+306,15.0
244,1.5203354865067538e+307,-9.426080016341874e+307,15.0
245,inf,-inf,15.0
246,inf,-inf,inf
